chr	pos	depth
3	178921477	11110
3	178921478	11110
3	178921479	11110
3	178921480	11110
3	178921481	11110
3	178921482	11110
3	178921483	11110
3	178921484	11110
3	178921485	11110
3	178921486	11110
3	178921487	11110
3	178921488	11110
3	178921489	11110
3	178921490	11110
3	178921491	11110
3	178921492	11110
3	178921493	11110
3	178921494	11110
3	178921495	11110
3	178921496	11110
3	178921497	11110
3	178921498	11110
3	178921499	11110
3	178921500	11110
3	178921501	11110
3	178921502	11110
3	178921503	11110
3	178921504	11110
3	178921505	11110
3	178921506	11110
3	178921507	11110
3	178921508	11110
3	178921509	11110
3	178921510	11110
3	178921511	11110
3	178921512	11110
3	178921513	11110
3	178921514	11110
3	178921515	11110
3	178921516	11110
3	178921517	11110
3	178921518	11110
3	178921519	11110
3	178921520	11110
3	178921521	11110
3	178921522	11110
3	178921523	11110
3	178921524	11110
3	178921525	11110
3	178921526	11110
3	178921527	11110
3	178921528	11110
3	178921529	11110
3	178921530	11110
3	178921531	11110
3	178921532	11110
3	178921533	11110
3	178921534	11110
3	178921535	11110
3	178921536	11110
3	178921537	11110
3	178921538	11110
3	178921539	11110
3	178921540	11110
3	178921541	11110
3	178921542	11110
3	178921543	11110
3	178921544	11110
3	178921545	11110
3	178921546	11110
3	178921547	11110
3	178921548	11110
3	178921549	11110
3	178921550	11110
3	178921551	11110
3	178921552	11110
3	178921553	11110
3	178921554	11110
3	178921555	11110
3	178921556	5557
3	178921557	5555
3	178921558	5555
3	178921559	5555
3	178921560	5555
3	178927936	4097
3	178927937	4097
3	178927938	4097
3	178927939	4097
3	178927940	4097
3	178927941	4097
3	178927942	4097
3	178927943	4097
3	178927944	4097
3	178927945	4097
3	178927946	4097
3	178927947	4097
3	178927948	4097
3	178927949	4097
3	178927950	4097
3	178927951	4097
3	178927952	4097
3	178927953	4097
3	178927954	4097
3	178927955	4097
3	178927956	4097
3	178927957	4097
3	178927958	4097
3	178927959	4097
3	178927960	4097
3	178927961	4097
3	178927962	4097
3	178927963	4097
3	178927964	4097
3	178927965	4097
3	178927966	4097
3	178927967	4097
3	178927968	4097
3	178927969	4097
3	178927970	4097
3	178927971	4097
3	178927972	4097
3	178927973	4097
3	178927974	4097
3	178927975	4097
3	178927976	4097
3	178927977	4097
3	178927978	4097
3	178927979	4097
3	178927980	4097
3	178927981	4097
3	178927982	4097
3	178927983	4097
3	178927984	4097
3	178927985	4097
3	178927986	4097
3	178927987	4097
3	178927988	4097
3	178927989	4097
3	178927990	4097
3	178927991	4097
3	178927992	4097
3	178927993	4097
3	178927994	4097
3	178927995	4097
3	178927996	4097
3	178927997	4097
3	178927998	4097
3	178927999	4097
3	178928000	4097
3	178928001	4097
3	178928002	4097
3	178928003	4097
3	178928004	4097
3	178928005	4097
3	178928006	4097
3	178928007	4097
3	178928008	4097
3	178928009	4097
3	178928010	4097
3	178928011	4097
3	178928012	4097
3	178928013	4097
3	178928014	4097
3	178928015	4097
3	178928016	4097
3	178928017	4097
3	178928018	4097
3	178928019	4097
3	178928020	4097
3	178928021	4097
3	178928022	4097
3	178928023	4097
3	178928024	4097
3	178928025	4097
3	178928026	4097
3	178928027	4097
3	178928028	4097
3	178928029	4097
3	178928030	4097
3	178928031	4097
3	178928032	4097
3	178928033	4097
3	178928034	4097
3	178928035	4097
3	178928036	4097
3	178928037	7740
3	178928038	7740
3	178928039	7740
3	178928040	7740
3	178928041	7740
3	178928042	7740
3	178928043	7740
3	178928044	7741
3	178928045	7741
3	178928046	7741
3	178928047	5658
3	178928048	5657
3	178928049	5657
3	178928050	5657
3	178928054	7217
3	178928055	7217
3	178928056	7217
3	178928057	7217
3	178928058	7217
3	178928059	7217
3	178928060	7217
3	178928061	7217
3	178928062	7217
3	178928063	7217
3	178928064	7217
3	178928065	7217
3	178928066	7217
3	178928067	7217
3	178928068	7217
3	178928069	7217
3	178928070	7217
3	178928071	7217
3	178928072	7217
3	178928073	7217
3	178928074	7217
3	178928075	7217
3	178928076	7217
3	178928077	7217
3	178928078	7217
3	178928079	7217
3	178928080	7217
3	178928081	7217
3	178928082	7217
3	178928083	7217
3	178928084	7217
3	178928085	7217
3	178928086	7217
3	178928087	7217
3	178928088	7217
3	178928089	7217
3	178928090	7217
3	178928091	7217
3	178928092	7217
3	178928093	7217
3	178928094	7217
3	178928095	7217
3	178928096	7217
3	178928097	7217
3	178928098	7217
3	178928099	7217
3	178928100	7217
3	178928101	7217
3	178928102	7217
3	178928103	7217
3	178928104	7217
3	178928105	7217
3	178928106	7217
3	178928107	7217
3	178928108	7217
3	178928109	7217
3	178928110	7217
3	178928111	7217
3	178928112	7217
3	178928113	7217
3	178928114	7217
3	178928115	7217
3	178928116	7217
3	178928117	7217
3	178928118	7217
3	178928119	7217
3	178928120	7217
3	178928121	7217
3	178928122	7217
3	178928123	7217
3	178928124	7217
3	178928125	7217
3	178928126	7217
3	178928127	7217
3	178928128	7217
3	178928129	7217
3	178928130	7217
3	178928131	7217
3	178928132	7217
3	178928133	7217
3	178928134	7217
3	178928135	7217
3	178928136	7217
3	178928137	7217
3	178928138	7217
3	178928139	7217
3	178928140	7217
3	178928141	7217
3	178928142	7217
3	178928143	7217
3	178928144	7217
3	178928145	7217
3	178928146	7217
3	178928147	7217
3	178928148	7217
3	178928149	7217
3	178928150	7217
3	178928151	7217
3	178928152	7217
3	178928153	7217
3	178928154	7217
3	178928155	7217
3	178928156	7217
3	178928157	7217
3	178928158	7217
3	178928159	7217
3	178936020	35556
3	178936021	35556
3	178936022	35556
3	178936023	35556
3	178936024	35556
3	178936025	35556
3	178936026	35556
3	178936027	35556
3	178936028	35556
3	178936029	35556
3	178936030	35556
3	178936031	35556
3	178936032	35556
3	178936033	35556
3	178936034	35556
3	178936035	35556
3	178936036	35556
3	178936037	35556
3	178936038	35556
3	178936039	35556
3	178936040	35556
3	178936041	35556
3	178936042	35556
3	178936043	35556
3	178936044	35556
3	178936045	35556
3	178936046	35556
3	178936047	35556
3	178936048	35556
3	178936049	35556
3	178936050	35556
3	178936051	35556
3	178936052	35556
3	178936053	35556
3	178936054	35556
3	178936055	35556
3	178936056	35556
3	178936057	35556
3	178936058	35556
3	178936059	35556
3	178936060	35556
3	178936061	35556
3	178936062	35556
3	178936063	35556
3	178936064	35556
3	178936065	35556
3	178936066	35556
3	178936067	35556
3	178936068	35556
3	178936069	35556
3	178936070	35556
3	178936071	35556
3	178936072	35556
3	178936073	35556
3	178936074	35556
3	178936075	35556
3	178936076	35556
3	178936077	35556
3	178936078	35556
3	178936079	35556
3	178936080	35556
3	178936081	35556
3	178936082	35556
3	178936083	35556
3	178936084	35556
3	178936085	35556
3	178936086	35556
3	178936087	35556
3	178936088	35556
3	178936089	35556
3	178936090	35556
3	178936091	35556
3	178936092	35556
3	178936093	35556
3	178936094	35556
3	178936095	35556
3	178936096	35556
3	178936097	35556
3	178936098	35556
3	178936099	35556
3	178936100	35556
3	178936101	35556
3	178936102	35556
3	178936103	35556
3	178938842	19228
3	178938843	19228
3	178938844	19229
3	178938845	19230
3	178938846	19230
3	178938847	19230
3	178938848	19230
3	178938849	19230
3	178938850	19230
3	178938851	19230
3	178938852	19230
3	178938853	19230
3	178938854	19230
3	178938855	19230
3	178938856	19230
3	178938857	19230
3	178938858	19230
3	178938859	19230
3	178938860	19230
3	178938861	19230
3	178938862	19230
3	178938863	19230
3	178938864	19230
3	178938865	19230
3	178938866	19230
3	178938867	19230
3	178938868	19230
3	178938869	19230
3	178938870	19230
3	178938871	19230
3	178938872	19230
3	178938873	19230
3	178938874	19230
3	178938875	19230
3	178938876	19230
3	178938877	19230
3	178938878	19230
3	178938879	19230
3	178938880	19230
3	178938881	19230
3	178938882	19230
3	178938883	19230
3	178938884	19230
3	178938885	19230
3	178938886	19230
3	178938887	19230
3	178938888	19230
3	178938889	19230
3	178938890	19230
3	178938891	19230
3	178938892	19230
3	178938893	19230
3	178938894	19230
3	178938895	19230
3	178938896	19230
3	178938897	19230
3	178938898	19230
3	178938899	19230
3	178938900	19230
3	178938901	19230
3	178938902	19230
3	178938903	19230
3	178938904	19230
3	178938905	19230
3	178938906	19230
3	178938907	19230
3	178938908	19230
3	178938909	19230
3	178938910	19230
3	178938911	19230
3	178938912	19230
3	178938913	19230
3	178938914	19230
3	178938915	19230
3	178938916	19230
3	178938917	19230
3	178938918	19230
3	178938919	19230
3	178938920	19230
3	178938921	19230
3	178938922	19230
3	178938923	19230
3	178938924	19230
3	178938925	19230
3	178938926	19230
3	178938927	19230
3	178938928	19230
3	178938929	19230
3	178938930	19230
3	178938931	19230
3	178938932	19230
3	178938933	19230
3	178938934	19230
3	178938935	19230
3	178938936	19230
3	178938937	19230
3	178938938	19230
3	178938939	19230
3	178938940	19230
3	178938941	19230
3	178938942	19230
3	178938943	19230
3	178938944	19230
3	178938945	19230
3	178938946	19230
3	178938947	19228
3	178938948	19228
3	178938949	19228
3	178938950	19227
3	178938951	19227
3	178938952	19227
3	178938953	19227
3	178938954	19227
3	178938955	19227
3	178938956	19227
3	178938957	19226
3	178938958	9617
3	178938959	9616
3	178938960	9616
3	178938961	9615
3	178938962	9615
3	178938963	9615
3	178938964	9615
3	178938965	9615
3	178938966	9615
3	178938967	9615
3	178938968	9615
3	178938969	9615
3	178951974	2209
3	178951975	2209
3	178951976	2209
3	178951977	2209
3	178951978	2209
3	178951979	2209
3	178951980	2209
3	178951981	2209
3	178951982	2209
3	178951983	2209
3	178951984	2209
3	178951985	2209
3	178951986	2209
3	178951987	2209
3	178951988	2209
3	178951989	2209
3	178951990	2209
3	178951991	2209
3	178951992	2209
3	178951993	2209
3	178951994	2209
3	178951995	2209
3	178951996	2209
3	178951997	2209
3	178951998	2209
3	178951999	2209
3	178952000	2209
3	178952001	2209
3	178952002	2209
3	178952003	2209
3	178952004	2209
3	178952005	2209
3	178952006	2209
3	178952007	2209
3	178952008	2209
3	178952009	2209
3	178952010	2209
3	178952011	2209
3	178952012	2209
3	178952013	2209
3	178952014	2209
3	178952015	2212
3	178952016	2212
3	178952017	2214
3	178952018	2215
3	178952019	2218
3	178952020	2222
3	178952021	2232
3	178952022	2333
3	178952023	2612
3	178952024	4327
3	178952025	6029
3	178952026	6035
3	178952027	6036
3	178952028	6036
3	178952029	6036
3	178952030	6036
3	178952031	6036
3	178952032	6036
3	178952033	6036
3	178952034	6036
3	178952035	6036
3	178952036	6036
3	178952037	6036
3	178952038	6036
3	178952039	6036
3	178952040	6040
3	178952041	9763
3	178952042	9842
3	178952043	9842
3	178952044	9842
3	178952045	9842
3	178952046	9842
3	178952047	9842
3	178952048	9842
3	178952049	9842
3	178952050	9842
3	178952051	9843
3	178952052	17292
3	178952053	17292
3	178952054	17292
3	178952055	17292
3	178952056	17292
3	178952057	17292
3	178952058	17292
3	178952059	17292
3	178952060	17292
3	178952061	17292
3	178952062	17292
3	178952063	17292
3	178952064	17292
3	178952065	17292
3	178952066	17292
3	178952067	17292
3	178952068	17292
3	178952069	17292
3	178952070	17292
3	178952071	17291
3	178952072	17291
3	178952073	17291
3	178952074	17291
3	178952075	17291
3	178952076	17291
3	178952077	17291
3	178952078	17291
3	178952079	17291
3	178952080	17291
3	178952081	17291
3	178952082	17291
3	178952083	17291
3	178952084	17291
3	178952085	17291
3	178952086	17291
3	178952087	17291
3	178952088	17291
3	178952089	17291
3	178952090	17291
3	178952091	17291
3	178952092	17281
3	178952093	16095
3	178952094	16095
3	178952095	16095
3	178952096	11256
3	178952097	11256
3	178952098	11256
3	178952099	11256
3	178952100	11256
3	178952101	11256
3	178952102	11256
3	178952103	11256
3	178952104	11256
3	178952105	11256
3	178952106	11256
3	178952107	11256
3	178952108	11256
3	178952109	11256
3	178952110	11256
3	178952111	11256
3	178952112	11256
3	178952113	11256
3	178952114	11256
3	178952115	11256
3	178952116	11256
3	178952117	11256
3	178952118	11256
3	178952119	11256
3	178952120	11256
3	178952121	11255
3	178952122	11253
3	178952123	7429
3	178952124	7429
3	178952125	7429
3	178952126	7429
3	178952127	7429
3	178952128	7429
3	178952129	7429
3	178952130	7429
3	178952131	7429
3	178952132	7429
3	178952133	7429
3	178952134	7429
3	178952135	7429
3	178952136	7429
3	178952137	7429
3	178952138	7429
3	178952139	7429
3	178952140	7429
3	178952141	7429
3	178952142	7429
3	178952143	7429
3	178952144	7429
3	178952145	7429
3	178952146	7429
3	178952147	7429
3	178952148	7429
3	178952149	7429
3	178952150	7429
3	178952151	7429
3	178952152	7429
3	178952153	7429
3	178952154	7429
3	178952155	7429
3	178952156	7429
3	178952157	7429
3	178952158	7429
3	178952159	7429
3	178952160	7429
3	178952161	7429
3	178952162	7429
3	178952163	7429
3	178952164	3860
3	178952165	3808
17	7572848	743
17	7572849	744
17	7572850	865
17	7572851	1166
17	7572852	1235
17	7572853	1238
17	7572854	1238
17	7572855	1239
17	7572856	1242
17	7572857	1242
17	7572858	1242
17	7572859	1242
17	7572860	1242
17	7572861	1242
17	7572862	1242
17	7572863	1242
17	7572864	1242
17	7572865	1242
17	7572866	1242
17	7572867	1242
17	7572868	1242
17	7572869	1242
17	7572870	1242
17	7572871	1242
17	7572872	1242
17	7572873	1242
17	7572874	1242
17	7572875	1242
17	7572876	1242
17	7572877	1242
17	7572878	1242
17	7572879	1242
17	7572880	1242
17	7572881	1242
17	7572882	1242
17	7572883	1242
17	7572884	1246
17	7572885	1359
17	7572886	1359
17	7572887	1360
17	7572888	1360
17	7572889	1360
17	7572890	1360
17	7572891	1361
17	7572892	1361
17	7572893	1361
17	7572894	1361
17	7572895	1361
17	7572896	1361
17	7572897	1361
17	7572898	1361
17	7572899	1361
17	7572900	1361
17	7572901	1361
17	7572902	1361
17	7572903	1361
17	7572904	1361
17	7572905	1361
17	7572906	1361
17	7572907	1361
17	7572908	1361
17	7572909	1361
17	7572910	1361
17	7572911	1361
17	7572912	1361
17	7572913	1361
17	7572914	1361
17	7572915	1361
17	7572916	1361
17	7572917	1361
17	7572918	1361
17	7572919	1361
17	7572920	1361
17	7572921	1361
17	7572922	1361
17	7572923	1361
17	7572924	1361
17	7572925	1361
17	7572926	1361
17	7572927	1361
17	7572928	1361
17	7572929	1361
17	7572930	1361
17	7572931	1361
17	7572932	1361
17	7572933	1361
17	7572934	1361
17	7572935	1361
17	7572936	1361
17	7572937	1361
17	7572938	1361
17	7572939	1368
17	7572940	3549
17	7572941	4348
17	7572942	4348
17	7572943	4348
17	7572944	4348
17	7572945	4353
17	7572946	4353
17	7572947	4353
17	7572948	4353
17	7572949	4353
17	7572950	4353
17	7572951	4353
17	7572952	4353
17	7572953	4353
17	7572954	4353
17	7572955	4353
17	7572956	4353
17	7572957	4353
17	7572958	4353
17	7572959	4353
17	7572960	4353
17	7572961	4353
17	7572962	4353
17	7572963	4353
17	7572964	4353
17	7572965	4353
17	7572966	7220
17	7572967	6480
17	7572968	6477
17	7572969	6477
17	7572970	6477
17	7572971	6477
17	7572972	6477
17	7572973	6477
17	7572974	6477
17	7572975	6477
17	7572976	6477
17	7572977	5859
17	7572978	5859
17	7572979	5859
17	7572980	5859
17	7572981	5859
17	7572982	5859
17	7572983	5859
17	7572984	5859
17	7572985	5859
17	7572986	5859
17	7572987	5859
17	7572988	5859
17	7572989	5859
17	7572990	5859
17	7572991	5858
17	7572992	5859
17	7572993	5859
17	7572994	5859
17	7572995	5859
17	7572996	5859
17	7572997	5859
17	7572998	5859
17	7572999	5859
17	7573000	5859
17	7573001	5859
17	7573002	5859
17	7573003	5859
17	7573004	5859
17	7573005	5859
17	7573006	5859
17	7573007	5859
17	7573008	5859
17	7573009	5859
17	7573010	5859
17	7573011	5859
17	7573012	5859
17	7573013	5859
17	7573014	5859
17	7573015	5859
17	7573016	5859
17	7573017	5859
17	7573018	5859
17	7573019	5859
17	7573020	5859
17	7573021	5859
17	7573022	5859
17	7573023	5859
17	7573024	5859
17	7573025	5859
17	7573026	5859
17	7573027	5859
17	7573028	5859
17	7573029	5859
17	7573030	5859
17	7573031	5859
17	7573032	5859
17	7573033	5859
17	7573034	5859
17	7573035	5859
17	7573036	5859
17	7573037	5859
17	7573038	5859
17	7573039	5859
17	7573040	5859
17	7573041	5859
17	7573042	5859
17	7573043	5859
17	7573044	5859
17	7573045	5859
17	7573046	5859
17	7573047	5859
17	7573048	5859
17	7573049	5859
17	7573050	5859
17	7573051	5859
17	7573052	5859
17	7573053	5859
17	7573054	5859
17	7573055	5859
17	7573056	5859
17	7573057	5859
17	7573058	5859
17	7573059	5859
17	7573060	5859
17	7573061	5859
17	7573062	5859
17	7573063	5859
17	7573064	5859
17	7573065	5859
17	7573066	5859
17	7573067	5859
17	7573878	1125
17	7573879	1125
17	7573880	1125
17	7573881	1125
17	7573882	1126
17	7573883	1126
17	7573884	1126
17	7573885	1126
17	7573886	1126
17	7573887	1126
17	7573888	1126
17	7573889	1126
17	7573890	1126
17	7573891	1126
17	7573892	1126
17	7573893	1126
17	7573894	1126
17	7573895	1126
17	7573896	1126
17	7573897	1126
17	7573898	1126
17	7573899	1126
17	7573900	1126
17	7573901	1126
17	7573902	1126
17	7573903	1126
17	7573904	1126
17	7573905	1126
17	7573906	1126
17	7573907	1126
17	7573908	1126
17	7573909	1126
17	7573910	1126
17	7573911	1126
17	7573912	1126
17	7573913	1126
17	7573914	1126
17	7573915	1126
17	7573916	1126
17	7573917	1126
17	7573918	1126
17	7573919	1126
17	7573920	1126
17	7573921	1126
17	7573922	1126
17	7573923	1126
17	7573924	1126
17	7573925	1126
17	7573926	1126
17	7573927	1126
17	7573928	1126
17	7573929	1126
17	7573930	1126
17	7573931	1126
17	7573932	1126
17	7573933	1126
17	7573934	1126
17	7573935	1126
17	7573936	1126
17	7573937	1126
17	7573938	1126
17	7573939	1126
17	7573940	1126
17	7573941	1126
17	7573942	1126
17	7573943	1126
17	7573944	1124
17	7573945	1126
17	7573946	1126
17	7573947	1126
17	7573948	1126
17	7573949	1126
17	7573950	1129
17	7573951	1380
17	7573952	1380
17	7573953	1380
17	7573954	1380
17	7573955	1380
17	7573956	1380
17	7573957	1380
17	7573958	1380
17	7573959	1380
17	7573960	1380
17	7573961	1381
17	7573962	1381
17	7573963	1385
17	7573964	1386
17	7573965	1386
17	7573966	1389
17	7573967	1394
17	7573968	1398
17	7573969	1411
17	7573970	1453
17	7573971	1599
17	7573972	2214
17	7573973	3715
17	7573974	3721
17	7573975	3725
17	7573976	3725
17	7573977	3725
17	7573978	3725
17	7573979	3725
17	7573980	3725
17	7573981	3725
17	7573982	3725
17	7573983	3725
17	7573984	3725
17	7573985	3725
17	7573986	3725
17	7573987	3725
17	7573988	3725
17	7573989	3725
17	7573990	3725
17	7573991	3725
17	7573992	3725
17	7573993	3725
17	7573994	3041
17	7573995	5380
17	7573996	5380
17	7573997	5380
17	7573998	5380
17	7573999	5380
17	7574000	5380
17	7574001	5380
17	7574002	5380
17	7574003	5380
17	7574004	5380
17	7574005	4944
17	7574006	4944
17	7574007	4944
17	7574008	4944
17	7574009	4944
17	7574010	4944
17	7574011	4944
17	7574012	4944
17	7574013	4944
17	7574014	4944
17	7574015	4944
17	7574016	4944
17	7574017	4944
17	7574018	4944
17	7574019	4944
17	7574020	4944
17	7574021	4944
17	7574022	4944
17	7574023	4944
17	7574024	4944
17	7574025	4944
17	7574026	4944
17	7574027	4944
17	7574028	4944
17	7574029	4944
17	7574030	4944
17	7574031	4944
17	7574032	4944
17	7574033	4944
17	7574034	4944
17	7574035	4944
17	7574036	4944
17	7574037	4944
17	7574038	4944
17	7574039	4944
17	7574040	4944
17	7574041	4944
17	7574042	4944
17	7574043	4944
17	7574044	4944
17	7574045	4944
17	7574046	4944
17	7574047	4944
17	7574048	4944
17	7574049	4944
17	7574050	4944
17	7574051	4944
17	7574052	4944
17	7574053	4944
17	7574054	4944
17	7574055	4944
17	7574056	4944
17	7574057	4944
17	7574058	4944
17	7574059	4944
17	7574060	4944
17	7574061	4944
17	7574062	4944
17	7574063	4944
17	7574064	4944
17	7574065	4944
17	7574066	4944
17	7574067	4944
17	7574068	4944
17	7574069	4944
17	7574070	4944
17	7576830	13867
17	7576831	13867
17	7576832	13867
17	7576833	13867
17	7576834	13867
17	7576835	13867
17	7576836	13869
17	7576837	13869
17	7576838	13870
17	7576839	13870
17	7576840	13870
17	7576841	13870
17	7576842	13870
17	7576843	13870
17	7576844	13870
17	7576845	13870
17	7576846	13870
17	7576847	13870
17	7576848	13870
17	7576849	13870
17	7576850	13870
17	7576851	13870
17	7576852	13870
17	7576853	13870
17	7576854	13870
17	7576855	13870
17	7576856	13870
17	7576857	13870
17	7576858	13870
17	7576859	13870
17	7576860	13870
17	7576861	13870
17	7576862	13870
17	7576863	13870
17	7576864	13870
17	7576865	13870
17	7576866	13870
17	7576867	13870
17	7576868	13870
17	7576869	13870
17	7576870	13870
17	7576871	13870
17	7576872	13870
17	7576873	13870
17	7576874	13870
17	7576875	13870
17	7576876	13870
17	7576877	13870
17	7576878	13870
17	7576879	13870
17	7576880	13870
17	7576881	13870
17	7576882	13870
17	7576883	13870
17	7576884	13870
17	7576885	13870
17	7576886	13870
17	7576887	13870
17	7576888	13870
17	7576889	13870
17	7576890	13870
17	7576891	13870
17	7576892	13870
17	7576893	13870
17	7576894	13870
17	7576895	13870
17	7576896	13870
17	7576897	13868
17	7576898	13870
17	7576899	13870
17	7576900	13870
17	7576901	13870
17	7576902	13870
17	7576903	13870
17	7576904	13870
17	7576905	13870
17	7576906	13870
17	7576907	13870
17	7576908	13870
17	7576909	13870
17	7576910	13870
17	7576911	13870
17	7576912	13870
17	7576913	13870
17	7576914	13870
17	7576915	13870
17	7576916	13870
17	7576917	13870
17	7576918	13870
17	7576919	13870
17	7576920	13870
17	7576921	13870
17	7576922	13870
17	7576923	13870
17	7576924	13870
17	7576925	13870
17	7576926	13870
17	7576927	13870
17	7576928	13870
17	7576929	13870
17	7576930	13870
17	7576931	13870
17	7576932	13870
17	7576933	13870
17	7576934	13870
17	7576935	13869
17	7576936	13869
17	7576937	13869
17	7576938	13866
17	7576939	13866
17	7576940	13866
17	7576941	13866
17	7576942	13866
17	7576943	13866
17	7576944	6932
17	7576945	6933
17	7576946	6933
17	7576947	6933
17	7576948	6933
17	7576949	6933
17	7577018	246
17	7577019	246
17	7577020	248
17	7577021	444
17	7577022	444
17	7577023	444
17	7577024	444
17	7577025	444
17	7577026	444
17	7577027	444
17	7577028	444
17	7577029	444
17	7577030	444
17	7577031	444
17	7577032	444
17	7577033	444
17	7577034	444
17	7577035	444
17	7577036	444
17	7577037	444
17	7577038	444
17	7577039	444
17	7577040	444
17	7577041	444
17	7577042	444
17	7577043	444
17	7577044	444
17	7577045	444
17	7577046	444
17	7577047	444
17	7577048	444
17	7577049	444
17	7577050	444
17	7577051	444
17	7577052	444
17	7577053	444
17	7577054	444
17	7577055	444
17	7577056	444
17	7577057	444
17	7577058	444
17	7577059	444
17	7577060	444
17	7577061	444
17	7577062	444
17	7577063	444
17	7577064	444
17	7577065	444
17	7577066	444
17	7577067	444
17	7577068	444
17	7577069	444
17	7577070	444
17	7577071	444
17	7577072	444
17	7577073	444
17	7577074	444
17	7577075	444
17	7577076	444
17	7577077	444
17	7577078	444
17	7577079	444
17	7577080	444
17	7577081	444
17	7577082	444
17	7577083	444
17	7577084	444
17	7577085	444
17	7577086	444
17	7577087	444
17	7577088	444
17	7577089	444
17	7577090	444
17	7577091	455
17	7577092	468
17	7577093	699
17	7577094	1003
17	7577095	1163
17	7577096	1640
17	7577097	3647
17	7577098	3650
17	7577099	3660
17	7577100	3660
17	7577101	3662
17	7577102	3662
17	7577103	3662
17	7577104	3662
17	7577105	3662
17	7577106	3662
17	7577107	3662
17	7577108	3662
17	7577109	3662
17	7577110	3662
17	7577111	3662
17	7577112	3662
17	7577113	3662
17	7577114	3662
17	7577115	3662
17	7577116	3662
17	7577117	3662
17	7577118	3662
17	7577119	3662
17	7577120	6825
17	7577121	6827
17	7577122	6827
17	7577123	6827
17	7577124	6827
17	7577125	6827
17	7577126	6827
17	7577127	6827
17	7577128	6827
17	7577129	6827
17	7577130	6827
17	7577131	6827
17	7577132	6827
17	7577133	6827
17	7577134	6827
17	7577135	6827
17	7577136	6827
17	7577137	6581
17	7577138	6581
17	7577139	6581
17	7577140	6581
17	7577141	6581
17	7577142	6383
17	7577143	6383
17	7577144	6383
17	7577145	6383
17	7577146	6383
17	7577147	6383
17	7577148	6383
17	7577149	6383
17	7577150	6383
17	7577151	6383
17	7577152	6383
17	7577153	6383
17	7577154	6383
17	7577155	6383
17	7577156	6383
17	7577157	6383
17	7577158	6383
17	7577159	6383
17	7577160	6383
17	7577161	6383
17	7577162	6383
17	7577163	6383
17	7577164	6383
17	7577165	6383
17	7577166	6383
17	7577167	6383
17	7577168	6383
17	7577169	6383
17	7577170	6383
17	7577171	6383
17	7577172	6383
17	7577173	6383
17	7577174	6383
17	7577175	6383
17	7577176	6383
17	7577177	6383
17	7577178	6383
17	7577179	6383
17	7577180	6383
17	7577181	6383
17	7577182	6383
17	7577183	6383
17	7577184	6383
17	7577185	6383
